Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for windows-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 17:52:25 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 6272880k(2144552k free), swap 12543884k(7082232k free)
CommandLine flags: -XX:GCLogFileSize=1048576 -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelOldGC 
2018-03-10T15:20:38.045+0300: 1.659: [GC (Allocation Failure) [PSYoungGen: 65536K->10744K(76288K)] 65536K->24681K(251392K), 0.0841861 secs] [Times: user=0.06 sys=0.00, real=0.09 secs] 
2018-03-10T15:20:40.227+0300: 3.842: [GC (Allocation Failure) [PSYoungGen: 76280K->10726K(76288K)] 90217K->53447K(251392K), 0.0186235 secs] [Times: user=0.03 sys=0.02, real=0.02 secs] 
2018-03-10T15:20:43.325+0300: 6.939: [GC (Allocation Failure) [PSYoungGen: 76262K->10742K(76288K)] 118983K->87621K(251392K), 0.0323895 secs] [Times: user=0.01 sys=0.05, real=0.03 secs] 
2018-03-10T15:20:45.385+0300: 9.000: [GC (Allocation Failure) [PSYoungGen: 76278K->10738K(76288K)] 153157K->121706K(251392K), 0.0312601 secs] [Times: user=0.00 sys=0.09, real=0.03 secs] 
2018-03-10T15:20:46.665+0300: 10.279: [GC (Allocation Failure) [PSYoungGen: 76274K->10747K(76288K)] 187242K->153695K(251392K), 0.0540728 secs] [Times: user=0.05 sys=0.08, real=0.05 secs] 
2018-03-10T15:20:46.719+0300: 10.333: [Full GC (Ergonomics) [PSYoungGen: 10747K->0K(76288K)] [ParOldGen: 142947K->82983K(175104K)] 153695K->82983K(251392K), [Metaspace: 7419K->7419K(1056768K)], 0.3955351 secs] [Times: user=0.75 sys=0.03, real=0.39 secs] 
2018-03-10T15:20:48.482+0300: 12.097: [GC (Allocation Failure) [PSYoungGen: 65536K->10752K(40448K)] 148519K->116284K(215552K), 0.0204937 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-10T15:20:49.522+0300: 13.136: [GC (Allocation Failure) [PSYoungGen: 40448K->25568K(58368K)] 145980K->131100K(233472K), 0.0106772 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2018-03-10T15:20:50.615+0300: 14.229: [GC (Allocation Failure) [PSYoungGen: 55264K->28672K(58368K)] 160796K->144979K(233472K), 0.1629252 secs] [Times: user=0.03 sys=0.00, real=0.16 secs] 
2018-03-10T15:20:51.804+0300: 15.418: [GC (Allocation Failure) [PSYoungGen: 58368K->28672K(58368K)] 174675K->160454K(233472K), 0.0152729 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-10T15:20:52.954+0300: 16.568: [GC (Allocation Failure) [PSYoungGen: 58368K->28665K(58368K)] 190150K->175639K(233472K), 0.1437082 secs] [Times: user=0.05 sys=0.00, real=0.14 secs] 
2018-03-10T15:20:53.098+0300: 16.711: [Full GC (Ergonomics) [PSYoungGen: 28665K->0K(58368K)] [ParOldGen: 146974K->129795K(175104K)] 175639K->129795K(233472K), [Metaspace: 9299K->9299K(1058816K)], 0.1164819 secs] [Times: user=0.17 sys=0.00, real=0.12 secs] 
2018-03-10T15:20:54.240+0300: 17.853: [GC (Allocation Failure) [PSYoungGen: 29696K->16064K(58368K)] 159491K->145859K(233472K), 0.0056791 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-10T15:20:55.275+0300: 18.889: [GC (Allocation Failure) [PSYoungGen: 45760K->16032K(58368K)] 175555K->161307K(233472K), 0.0112809 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2018-03-10T15:20:55.287+0300: 18.901: [Full GC (Ergonomics) [PSYoungGen: 16032K->0K(58368K)] [ParOldGen: 145275K->143564K(175104K)] 161307K->143564K(233472K), [Metaspace: 9302K->9302K(1058816K)], 0.0577809 secs] [Times: user=0.09 sys=0.00, real=0.06 secs] 
2018-03-10T15:20:56.366+0300: 19.980: [GC (Allocation Failure) [PSYoungGen: 29696K->16096K(58368K)] 173260K->159660K(233472K), 0.0064729 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2018-03-10T15:20:56.373+0300: 19.987: [Full GC (Ergonomics) [PSYoungGen: 16096K->0K(58368K)] [ParOldGen: 143564K->151782K(175104K)] 159660K->151782K(233472K), [Metaspace: 9304K->9304K(1058816K)], 0.0637513 secs] [Times: user=0.09 sys=0.00, real=0.06 secs] 
2018-03-10T15:20:57.469+0300: 21.083: [Full GC (Ergonomics) [PSYoungGen: 29696K->0K(58368K)] [ParOldGen: 151782K->157263K(175104K)] 181478K->157263K(233472K), [Metaspace: 9321K->9321K(1058816K)], 0.0980596 secs] [Times: user=0.17 sys=0.03, real=0.10 secs] 
2018-03-10T15:20:58.591+0300: 22.205: [Full GC (Ergonomics) [PSYoungGen: 29696K->0K(58368K)] [ParOldGen: 157263K->165484K(175104K)] 186959K->165484K(233472K), [Metaspace: 9322K->9322K(1058816K)], 0.0652270 secs] [Times: user=0.11 sys=0.01, real=0.06 secs] 
2018-03-10T15:20:59.676+0300: 23.290: [Full GC (Ergonomics) [PSYoungGen: 29696K->0K(58368K)] [ParOldGen: 165484K->171108K(175104K)] 195180K->171108K(233472K), [Metaspace: 9324K->9324K(1058816K)], 0.0751671 secs] [Times: user=0.17 sys=0.00, real=0.07 secs] 
2018-03-10T15:21:00.788+0300: 24.402: [Full GC (Ergonomics) [PSYoungGen: 29696K->4288K(58368K)] [ParOldGen: 171108K->174996K(175104K)] 200804K->179285K(233472K), [Metaspace: 9328K->9328K(1058816K)], 0.0755272 secs] [Times: user=0.11 sys=0.00, real=0.08 secs] 
2018-03-10T15:21:00.873+0300: 24.487: [Full GC (Ergonomics) [PSYoungGen: 29696K->17097K(58368K)] [ParOldGen: 174996K->174811K(175104K)] 204692K->191908K(233472K), [Metaspace: 9328K->9328K(1058816K)], 0.1478884 secs] [Times: user=0.16 sys=0.00, real=0.15 secs] 
2018-03-10T15:21:02.059+0300: 25.673: [Full GC (Ergonomics) [PSYoungGen: 29696K->14132K(58368K)] [ParOldGen: 174811K->174831K(175104K)] 204507K->188963K(233472K), [Metaspace: 9328K->9328K(1058816K)], 0.0745758 secs] [Times: user=0.19 sys=0.00, real=0.07 secs] 
2018-03-10T15:21:02.136+0300: 25.750: [Full GC (Ergonomics) [PSYoungGen: 29696K->21883K(58368K)] [ParOldGen: 174831K->174831K(175104K)] 204527K->196714K(233472K), [Metaspace: 9328K->9328K(1058816K)], 0.0291718 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2018-03-10T15:21:02.166+0300: 25.781: [Full GC (Ergonomics) [PSYoungGen: 29696K->25764K(58368K)] [ParOldGen: 174831K->174831K(175104K)] 204527K->200596K(233472K), [Metaspace: 9328K->9328K(1058816K)], 0.0356545 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2018-03-10T15:21:03.226+0300: 26.840: [Full GC (Ergonomics) [PSYoungGen: 29696K->21071K(58368K)] [ParOldGen: 174831K->174893K(175104K)] 204527K->195965K(233472K), [Metaspace: 9328K->9328K(1058816K)], 0.0835636 secs] [Times: user=0.14 sys=0.00, real=0.08 secs] 
